112233 ;C.Cracco@studenti.uniba.it;2020 ;Carlo;Cracco;M;30/9/1951 ;Milano;cracco
999999 ;A.Cannavacciuolo@studenti.uniba.it;2019 ;Antonino;Cannavacciuolo;M;30/11/1990 ;Napoli;antonino
101716 ;A.Greco@studenti.uniba.it;2020 ;Antonio;Greco;M;20/10/1994 ;Lizzano;greco
739395 ;C.Musciacchio@studenti.uniba.it;2020 ;Cosimo Marco;Musciacchio;M;30/10/1994 ;Lizzano;ciaobella
113344 ;F.Rovazzi@studenti.uniba.it;2019 ;Fabio;Rovazzi;M;30/10/1991 ;Milano;rovazzi
908765 ;f.rovazzi1@studenti.uniba.it;2018 ;Fabio;Rovazzi;M;30/10/1990 ;Torino;musica
667788 ;I.Blasi@studenti.uniba.it;2018 ;Ilary;Blasi;F;29/10/1970 ;Milano;totti
192837 ;F.Moro@studenti.uniba.it;2016 ;Fabrizio;Moro;M;9/11/1971 ;La Spezia;musicista
909090 ;A.Clerici@studenti.uniba.it;2020 ;Antonella;Clerici;F;20/10/1970 ;Milano;clerici
110022 ;C.Musciacchio1@studenti.uniba.it;2019 ;Cosimo Marco;Musciacchio;M;30/10/1994 ;Lizzano;musciacchio
777777 ;F.Fazio@studenti.uniba.it;2019 ;Fabrizio;Fazio;M;19/10/1994 ;Lizzano;lizzano
747069 ;V.Semidai@studenti.uniba.it;2020 ;Valerio;Semidai;M;3/6/2001 ;Taranto;mammella

